datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.03
2021-07-01T00:00:00+03:00,CO,0.55
2021-07-01T00:00:00+03:00,NO2,0.034
2021-08-01T00:00:00+03:00,NO,0.017
2021-08-01T00:00:00+03:00,NO2,0.031
2021-08-01T00:00:00+03:00,CO,0.64
2021-09-01T00:00:00+03:00,NO2,0.015
2021-09-01T00:00:00+03:00,CO,0.35
2021-09-01T00:00:00+03:00,NO,0.004
2021-10-01T00:00:00+03:00,NO2,0.016
2021-10-01T00:00:00+03:00,CO,0.39
2021-10-01T00:00:00+03:00,NO,0.011
2021-11-01T00:00:00+03:00,NO,0.007
2021-11-01T00:00:00+03:00,CO,0.28
2021-11-01T00:00:00+03:00,NO2,0.015
2021-12-01T00:00:00+03:00,NO2,0.022
2021-12-01T00:00:00+03:00,NO,0.014
2021-12-01T00:00:00+03:00,CO,0.36
2022-01-01T00:00:00+03:00,NO,0.006
2022-01-01T00:00:00+03:00,CO,0.25
2022-01-01T00:00:00+03:00,NO2,0.019
2022-02-01T00:00:00+03:00,NO2,0.023
2022-02-01T00:00:00+03:00,NO,0.004
2022-02-01T00:00:00+03:00,CO,0.33
2022-03-01T00:00:00+03:00,CO,0.51
2022-03-01T00:00:00+03:00,NO2,0.03
2022-03-01T00:00:00+03:00,NO,0.02
2022-04-01T00:00:00+03:00,NO,0.01
2022-04-01T00:00:00+03:00,NO2,0.03
2022-04-01T00:00:00+03:00,CO,0.38
2022-05-01T00:00:00+03:00,NO,0.008
2022-05-01T00:00:00+03:00,NO2,0.031
2022-05-01T00:00:00+03:00,CO,0.31
2022-06-01T00:00:00+03:00,NO2,0.033
2022-06-01T00:00:00+03:00,CO,0.26
2022-06-01T00:00:00+03:00,NO,0.013
2022-07-01T00:00:00+03:00,NO,0.012
2022-07-01T00:00:00+03:00,NO2,0.033
2022-07-01T00:00:00+03:00,CO,0.33
2022-08-01T00:00:00+03:00,NO,0.023
2022-08-01T00:00:00+03:00,NO2,0.047
2022-08-01T00:00:00+03:00,CO,0.31
2022-09-01T00:00:00+03:00,NO2,0.027
2022-09-01T00:00:00+03:00,CO,0.19
2022-09-01T00:00:00+03:00,NO,0.022
2022-10-01T00:00:00+03:00,NO,0.022
2022-10-01T00:00:00+03:00,SO2,0.002
2022-10-01T00:00:00+03:00,CO,0.29
2022-10-01T00:00:00+03:00,NO2,0.029
2022-11-01T00:00:00+03:00,CO,0.14
2022-11-01T00:00:00+03:00,SO2,0.0019
2022-11-01T00:00:00+03:00,NO,0.016
2022-11-01T00:00:00+03:00,NO2,0.028
2022-12-01T00:00:00+03:00,NO,0.035
2022-12-01T00:00:00+03:00,NO2,0.047
2022-12-01T00:00:00+03:00,SO2,0.0027
2022-12-01T00:00:00+03:00,CO,0.15
2023-01-01T00:00:00+03:00,SO2,0.0015
2023-01-01T00:00:00+03:00,NO2,0.044
2023-01-01T00:00:00+03:00,CO,0.11
2023-01-01T00:00:00+03:00,NO,0.013
2023-02-01T00:00:00+03:00,NO2,0.038
2023-02-01T00:00:00+03:00,NO,0.009
2023-02-01T00:00:00+03:00,SO2,0.0015
2023-02-01T00:00:00+03:00,CO,0.18
2023-03-01T00:00:00+03:00,NO2,0.036
2023-03-01T00:00:00+03:00,NO,0.015
2023-03-01T00:00:00+03:00,SO2,0.0015
2023-03-01T00:00:00+03:00,CO,0.26
2023-04-01T00:00:00+03:00,NO,0.019
2023-04-01T00:00:00+03:00,CO,0.42
2023-04-01T00:00:00+03:00,SO2,0.002
2023-04-01T00:00:00+03:00,NO2,0.066
2023-05-01T00:00:00+03:00,CO,0.41
2023-05-01T00:00:00+03:00,NO2,0.043
2023-05-01T00:00:00+03:00,SO2,0.0007
2023-05-01T00:00:00+03:00,NO,0.019
2023-06-01T00:00:00+03:00,CO,0.27
2023-06-01T00:00:00+03:00,SO2,0.0019
2023-06-01T00:00:00+03:00,NO,0.011
2023-06-01T00:00:00+03:00,NO2,0.039
2023-07-01T00:00:00+03:00,NO2,0.024
2023-07-01T00:00:00+03:00,NO,0.009
2023-07-01T00:00:00+03:00,SO2,0.0014
2023-07-01T00:00:00+03:00,CO,0.17
2023-08-01T00:00:00+03:00,NO,0.016
2023-08-01T00:00:00+03:00,SO2,0.0015
2023-08-01T00:00:00+03:00,CO,0.16
2023-08-01T00:00:00+03:00,NO2,0.028
