datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,CO,0.02
2022-05-13T00:00:00+03:00,OZ,0.0748
2022-05-14T00:00:00+03:00,OZ,0.0765
2022-05-14T00:00:00+03:00,CO,0.02
2022-05-15T00:00:00+03:00,OZ,0.0711
2022-05-15T00:00:00+03:00,CO,0.03
2022-05-16T00:00:00+03:00,CO,0.02
2022-05-16T00:00:00+03:00,OZ,0.0589
2022-05-17T00:00:00+03:00,CO,0.03
2022-05-17T00:00:00+03:00,OZ,0.0433
2022-05-18T00:00:00+03:00,OZ,0.0558
2022-05-18T00:00:00+03:00,CO,0.04
2022-05-19T00:00:00+03:00,CO,0.04
2022-05-19T00:00:00+03:00,OZ,0.0588
2022-05-20T00:00:00+03:00,CO,0.07
2022-05-20T00:00:00+03:00,OZ,0.044
2022-05-21T00:00:00+03:00,CO,0.13
2022-05-21T00:00:00+03:00,OZ,0.0476
2022-05-22T00:00:00+03:00,OZ,0.0681
2022-05-22T00:00:00+03:00,CO,0.08
2022-05-23T00:00:00+03:00,OZ,0.0646
2022-05-23T00:00:00+03:00,CO,0.05
2022-05-24T00:00:00+03:00,CO,0.05
2022-05-24T00:00:00+03:00,OZ,0.0751
2022-05-25T00:00:00+03:00,OZ,0.0394
2022-05-25T00:00:00+03:00,CO,0.05
2022-05-26T00:00:00+03:00,OZ,0.057
2022-05-26T00:00:00+03:00,CO,0.05
2022-05-27T00:00:00+03:00,CO,0.01
2022-05-27T00:00:00+03:00,OZ,0.0593
2022-05-28T00:00:00+03:00,CO,0.02
2022-05-28T00:00:00+03:00,OZ,0.0491
2022-05-29T00:00:00+03:00,CO,0.02
2022-05-29T00:00:00+03:00,OZ,0.0593
2022-05-30T00:00:00+03:00,CO,0.07
2022-05-30T00:00:00+03:00,OZ,0.0469
2022-05-31T00:00:00+03:00,OZ,0.022
2022-05-31T00:00:00+03:00,CO,0.07
2022-06-01T00:00:00+03:00,OZ,0.0361
2022-06-01T00:00:00+03:00,CO,0.1
2022-06-02T00:00:00+03:00,OZ,0.0474
2022-06-02T00:00:00+03:00,CO,0.17
2022-06-03T00:00:00+03:00,OZ,0.0366
2022-06-03T00:00:00+03:00,CO,0.11
2022-06-04T00:00:00+03:00,CO,0.02
2022-06-04T00:00:00+03:00,OZ,0.048
2022-06-05T00:00:00+03:00,OZ,0.0476
2022-06-05T00:00:00+03:00,CO,0.03
2022-06-06T00:00:00+03:00,OZ,0.0493
2022-06-06T00:00:00+03:00,CO,0.03
2022-06-07T00:00:00+03:00,OZ,0.0405
2022-06-07T00:00:00+03:00,CO,0.03
2022-06-08T00:00:00+03:00,CO,0.03
2022-06-08T00:00:00+03:00,OZ,0.0548
2022-06-09T00:00:00+03:00,CO,0.08
2022-06-09T00:00:00+03:00,OZ,0.0374
2022-06-10T00:00:00+03:00,CO,0.05
2022-06-10T00:00:00+03:00,OZ,0.0482
2022-06-11T00:00:00+03:00,OZ,0.0504
2022-06-11T00:00:00+03:00,CO,0.09
2022-06-12T00:00:00+03:00,CO,0.08
2022-06-12T00:00:00+03:00,OZ,0.0423
2022-06-13T00:00:00+03:00,OZ,0.0353
2022-06-13T00:00:00+03:00,CO,0.08
2022-06-14T00:00:00+03:00,CO,0.06
2022-06-14T00:00:00+03:00,OZ,0.0384
2022-06-15T00:00:00+03:00,CO,0.01
2022-06-15T00:00:00+03:00,OZ,0.0492
2022-06-16T00:00:00+03:00,OZ,0.0409
2022-06-16T00:00:00+03:00,CO,0
2022-06-17T00:00:00+03:00,CO,0.01
2022-06-17T00:00:00+03:00,OZ,0.0386
2022-06-18T00:00:00+03:00,OZ,0.0351
2022-06-18T00:00:00+03:00,CO,0.01
2022-06-19T00:00:00+03:00,CO,0.02
2022-06-19T00:00:00+03:00,OZ,0.0566
2022-06-20T00:00:00+03:00,CO,0.01
2022-06-20T00:00:00+03:00,OZ,0.0445
2022-06-21T00:00:00+03:00,OZ,0.0195
2022-06-21T00:00:00+03:00,CO,0.07
2022-06-22T00:00:00+03:00,CO,0.1
2022-06-22T00:00:00+03:00,OZ,0.0272
2022-06-23T00:00:00+03:00,CO,0.07
2022-06-23T00:00:00+03:00,OZ,0.0415
2022-06-24T00:00:00+03:00,OZ,0.0495
2022-06-24T00:00:00+03:00,CO,0.07
2022-06-25T00:00:00+03:00,OZ,0.0588
2022-06-25T00:00:00+03:00,CO,0.09
2022-06-26T00:00:00+03:00,CO,0.07
2022-06-26T00:00:00+03:00,OZ,0.0325
2022-06-27T00:00:00+03:00,CO,0.1
2022-06-27T00:00:00+03:00,OZ,0.0276
2022-06-28T00:00:00+03:00,OZ,0.0516
2022-06-28T00:00:00+03:00,CO,0.21
