datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,OZ,0.0232
2021-07-01T00:00:00+03:00,NO2,
2021-07-01T00:00:00+03:00,CO,0.31
2021-07-01T00:00:00+03:00,NO,
2021-08-01T00:00:00+03:00,NO2,0.047
2021-08-01T00:00:00+03:00,NO,0.043
2021-08-01T00:00:00+03:00,OZ,0.0181
2021-08-01T00:00:00+03:00,CO,0.37
2021-09-01T00:00:00+03:00,CO,0.38
2021-09-01T00:00:00+03:00,OZ,0.0089
2021-09-01T00:00:00+03:00,NO2,0.033
2021-09-01T00:00:00+03:00,NO,0.056
2021-10-01T00:00:00+03:00,CO,0.31
2021-10-01T00:00:00+03:00,NO,0.052
2021-10-01T00:00:00+03:00,NO2,0.039
2021-10-01T00:00:00+03:00,OZ,0.0161
2021-11-01T00:00:00+03:00,OZ,0.0156
2021-11-01T00:00:00+03:00,CO,0.17
2021-11-01T00:00:00+03:00,NO2,0.031
2021-11-01T00:00:00+03:00,NO,0.041
2021-12-01T00:00:00+03:00,OZ,0.0103
2021-12-01T00:00:00+03:00,NO,0.069
2021-12-01T00:00:00+03:00,NO2,0.041
2021-12-01T00:00:00+03:00,CO,0.39
2022-01-01T00:00:00+03:00,CO,0.34
2022-01-01T00:00:00+03:00,NO,0.054
2022-01-01T00:00:00+03:00,OZ,0.0156
2022-01-01T00:00:00+03:00,NO2,0.047
2022-02-01T00:00:00+03:00,OZ,0.0257
2022-02-01T00:00:00+03:00,NO2,0.045
2022-02-01T00:00:00+03:00,NO,0.041
2022-02-01T00:00:00+03:00,CO,0.22
2022-03-01T00:00:00+03:00,NO,0.069
2022-03-01T00:00:00+03:00,OZ,0.0222
2022-03-01T00:00:00+03:00,CO,0.3
2022-03-01T00:00:00+03:00,NO2,0.061
2022-04-01T00:00:00+03:00,NO2,0.049
2022-04-01T00:00:00+03:00,NO,0.047
2022-04-01T00:00:00+03:00,OZ,0.0278
2022-04-01T00:00:00+03:00,CO,0.3
2022-05-01T00:00:00+03:00,NO,0.037
2022-05-01T00:00:00+03:00,NO2,0.04
2022-05-01T00:00:00+03:00,OZ,0.0328
2022-05-01T00:00:00+03:00,CO,0.45
2022-06-01T00:00:00+03:00,NO,0.038
2022-06-01T00:00:00+03:00,CO,0.52
2022-06-01T00:00:00+03:00,OZ,0.0239
2022-06-01T00:00:00+03:00,NO2,0.044
2022-07-01T00:00:00+03:00,CO,0.38
2022-07-01T00:00:00+03:00,NO,
2022-07-01T00:00:00+03:00,NO2,
2022-07-01T00:00:00+03:00,OZ,
2022-08-01T00:00:00+03:00,NO,
2022-08-01T00:00:00+03:00,NO2,
2022-08-01T00:00:00+03:00,OZ,0.0272
2022-08-01T00:00:00+03:00,CO,0.01
2022-09-01T00:00:00+03:00,CO,
2022-09-01T00:00:00+03:00,OZ,0.0111
2022-09-01T00:00:00+03:00,NO2,
2022-09-01T00:00:00+03:00,NO,
2022-10-01T00:00:00+03:00,NO,0.066
2022-10-01T00:00:00+03:00,CO,0.54
2022-10-01T00:00:00+03:00,OZ,0.0128
2022-10-01T00:00:00+03:00,NO2,0.056
2022-11-01T00:00:00+03:00,NO2,0.049
2022-11-01T00:00:00+03:00,OZ,0.0109
2022-11-01T00:00:00+03:00,NO,0.077
2022-11-01T00:00:00+03:00,CO,0.55
2022-12-01T00:00:00+03:00,OZ,0.0084
2022-12-01T00:00:00+03:00,NO2,0.047
2022-12-01T00:00:00+03:00,NO,0.071
2022-12-01T00:00:00+03:00,CO,0.59
2023-01-01T00:00:00+03:00,NO2,0.041
2023-01-01T00:00:00+03:00,CO,0.45
2023-01-01T00:00:00+03:00,NO,0.037
2023-01-01T00:00:00+03:00,OZ,0.0175
2023-02-01T00:00:00+03:00,NO2,0.048
2023-02-01T00:00:00+03:00,NO,0.046
2023-02-01T00:00:00+03:00,OZ,0.0219
2023-02-01T00:00:00+03:00,CO,0.5
2023-03-01T00:00:00+03:00,NO2,0.052
2023-03-01T00:00:00+03:00,NO,0.043
2023-03-01T00:00:00+03:00,OZ,0.0264
2023-03-01T00:00:00+03:00,CO,0.51
2023-04-01T00:00:00+03:00,NO,0.054
2023-04-01T00:00:00+03:00,NO2,0.066
2023-04-01T00:00:00+03:00,OZ,0.023
2023-04-01T00:00:00+03:00,CO,0.64
2023-05-01T00:00:00+03:00,NO2,0.057
2023-05-01T00:00:00+03:00,CO,0.64
2023-05-01T00:00:00+03:00,NO,0.051
2023-05-01T00:00:00+03:00,OZ,0.0212
2023-06-01T00:00:00+03:00,NO,0.038
2023-06-01T00:00:00+03:00,CO,0.55
2023-06-01T00:00:00+03:00,NO2,0.049
2023-06-01T00:00:00+03:00,OZ,0.0204
2023-07-01T00:00:00+03:00,OZ,0.0196
2023-07-01T00:00:00+03:00,NO2,0.04
2023-07-01T00:00:00+03:00,CO,0.54
2023-07-01T00:00:00+03:00,NO,0.038
2023-08-01T00:00:00+03:00,CO,0.7
2023-08-01T00:00:00+03:00,NO2,0.055
2023-08-01T00:00:00+03:00,NO,0.038
2023-08-01T00:00:00+03:00,OZ,0.0162
2023-09-01T00:00:00+03:00,OZ,0.0145
2023-09-01T00:00:00+03:00,NO,0.062
2023-09-01T00:00:00+03:00,NO2,0.047
2023-09-01T00:00:00+03:00,CO,0.71
2023-10-01T00:00:00+03:00,NO2,0.033
2023-10-01T00:00:00+03:00,CO,0.59
2023-10-01T00:00:00+03:00,OZ,0.0131
2023-10-01T00:00:00+03:00,NO,0.049
2023-11-01T00:00:00+03:00,NO2,0.035
2023-11-01T00:00:00+03:00,NO,0.047
2023-11-01T00:00:00+03:00,CO,0.53
2023-11-01T00:00:00+03:00,OZ,0.0107
2023-12-01T00:00:00+03:00,CO,0.53
2023-12-01T00:00:00+03:00,NO2,0.037
2023-12-01T00:00:00+03:00,OZ,0.0093
2023-12-01T00:00:00+03:00,NO,0.052
2024-01-01T00:00:00+03:00,NO2,0.044
2024-01-01T00:00:00+03:00,NO,0.051
2024-01-01T00:00:00+03:00,CO,0.52
2024-01-01T00:00:00+03:00,OZ,0.0121
2024-02-01T00:00:00+03:00,OZ,0.0154
2024-02-01T00:00:00+03:00,NO2,0.05
2024-02-01T00:00:00+03:00,NO,0.051
2024-02-01T00:00:00+03:00,CO,0.52
2024-03-01T00:00:00+03:00,NO,0.052
2024-03-01T00:00:00+03:00,NO2,0.058
2024-03-01T00:00:00+03:00,OZ,0.0188
2024-03-01T00:00:00+03:00,CO,0.59
2024-04-01T00:00:00+03:00,NO2,0.043
2024-04-01T00:00:00+03:00,OZ,0.027
2024-04-01T00:00:00+03:00,CO,0.52
2024-04-01T00:00:00+03:00,NO,0.032
2024-05-01T00:00:00+03:00,OZ,0.028
2024-05-01T00:00:00+03:00,NO,0.038
2024-05-01T00:00:00+03:00,NO2,0.048
2024-05-01T00:00:00+03:00,CO,0.59
2024-06-01T00:00:00+03:00,NO2,0.046
2024-06-01T00:00:00+03:00,OZ,0.023
2024-06-01T00:00:00+03:00,CO,0.59
2024-06-01T00:00:00+03:00,NO,0.031
2024-07-01T00:00:00+03:00,NO2,0.057
2024-07-01T00:00:00+03:00,OZ,0.0281
2024-07-01T00:00:00+03:00,CO,0.54
2024-07-01T00:00:00+03:00,NO,0.047
2024-08-01T00:00:00+03:00,NO,0.059
2024-08-01T00:00:00+03:00,CO,0.66
2024-08-01T00:00:00+03:00,OZ,0.0161
2024-08-01T00:00:00+03:00,NO2,0.044
2024-09-01T00:00:00+03:00,NO,
2024-09-01T00:00:00+03:00,NO2,
2024-09-01T00:00:00+03:00,OZ,0.0162
2024-09-01T00:00:00+03:00,CO,0.73
2024-10-01T00:00:00+03:00,CO,0.63
2024-10-01T00:00:00+03:00,NO2,0.044
2024-10-01T00:00:00+03:00,OZ,0.007
2024-10-01T00:00:00+03:00,NO,0.08
2024-11-01T00:00:00+03:00,OZ,0.01
2024-11-01T00:00:00+03:00,CO,0.45
2024-11-01T00:00:00+03:00,NO2,0.036
2024-11-01T00:00:00+03:00,NO,0.055
2024-12-01T00:00:00+03:00,NO,0.055
2024-12-01T00:00:00+03:00,CO,0.45
2024-12-01T00:00:00+03:00,OZ,0.0092
2024-12-01T00:00:00+03:00,NO2,0.038
2025-01-01T00:00:00+03:00,NO2,0.037
2025-01-01T00:00:00+03:00,OZ,0.014
2025-01-01T00:00:00+03:00,NO,0.038
2025-01-01T00:00:00+03:00,CO,0.35
2025-02-01T00:00:00+03:00,NO2,0.065
2025-02-01T00:00:00+03:00,OZ,0.0087
2025-02-01T00:00:00+03:00,NO,0.071
2025-02-01T00:00:00+03:00,CO,0.58
2025-03-01T00:00:00+03:00,NO,0.047
2025-03-01T00:00:00+03:00,NO2,0.062
2025-03-01T00:00:00+03:00,OZ,0.0134
2025-03-01T00:00:00+03:00,CO,0.49
2025-04-01T00:00:00+03:00,CO,0.51
2025-04-01T00:00:00+03:00,NO,0.038
2025-04-01T00:00:00+03:00,NO2,0.058
2025-04-01T00:00:00+03:00,OZ,0.0209
2025-05-01T00:00:00+03:00,NO,0.031
2025-05-01T00:00:00+03:00,NO2,0.055
2025-05-01T00:00:00+03:00,CO,
2025-05-01T00:00:00+03:00,OZ,0.0157
2025-06-01T00:00:00+03:00,CO,
2025-06-01T00:00:00+03:00,OZ,0.0117
2025-06-01T00:00:00+03:00,NO2,0.046
2025-06-01T00:00:00+03:00,NO,0.035
2025-07-01T00:00:00+03:00,NO,0.039
2025-07-01T00:00:00+03:00,CO,0.54
2025-07-01T00:00:00+03:00,OZ,0.004
2025-07-01T00:00:00+03:00,NO2,0.059
2025-08-01T00:00:00+03:00,CO,0.52
2025-08-01T00:00:00+03:00,NO2,0.058
2025-08-01T00:00:00+03:00,OZ,
2025-08-01T00:00:00+03:00,NO,0.052
2025-09-01T00:00:00+03:00,OZ,0.0077
2025-09-01T00:00:00+03:00,NO2,0.053
2025-09-01T00:00:00+03:00,CO,0.51
2025-09-01T00:00:00+03:00,NO,0.062
2025-10-01T00:00:00+03:00,NO,0.068
2025-10-01T00:00:00+03:00,CO,0.48
2025-10-01T00:00:00+03:00,OZ,0.004
2025-10-01T00:00:00+03:00,NO2,0.043
