datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.003
2021-07-01T00:00:00+03:00,CO,0.41
2021-07-01T00:00:00+03:00,SO2,0.0017
2021-07-01T00:00:00+03:00,NO2,0.042
2021-07-01T00:00:00+03:00,PM10,0.006
2021-07-01T00:00:00+03:00,NO,0.013
2021-08-01T00:00:00+03:00,CO,0.53
2021-08-01T00:00:00+03:00,SO2,0.003
2021-08-01T00:00:00+03:00,PM2.5,0.003
2021-08-01T00:00:00+03:00,NO,0.012
2021-08-01T00:00:00+03:00,NO2,0.042
2021-08-01T00:00:00+03:00,PM10,0.006
2021-09-01T00:00:00+03:00,NO,0.011
2021-09-01T00:00:00+03:00,SO2,0.0038
2021-09-01T00:00:00+03:00,PM10,
2021-09-01T00:00:00+03:00,NO2,0.032
2021-09-01T00:00:00+03:00,PM2.5,
2021-09-01T00:00:00+03:00,CO,0.49
2021-10-01T00:00:00+03:00,PM10,
2021-10-01T00:00:00+03:00,PM2.5,
2021-10-01T00:00:00+03:00,CO,0.59
2021-10-01T00:00:00+03:00,NO,0.042
2021-10-01T00:00:00+03:00,NO2,0.045
2021-10-01T00:00:00+03:00,SO2,0.0048
2021-11-01T00:00:00+03:00,NO,0.019
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,PM10,0.002
2021-11-01T00:00:00+03:00,CO,0.4
2021-11-01T00:00:00+03:00,PM2.5,0.002
2021-11-01T00:00:00+03:00,SO2,0.0055
2021-12-01T00:00:00+03:00,NO,0.023
2021-12-01T00:00:00+03:00,PM2.5,0.013
2021-12-01T00:00:00+03:00,NO2,0.042
2021-12-01T00:00:00+03:00,SO2,0.0048
2021-12-01T00:00:00+03:00,CO,0.39
2021-12-01T00:00:00+03:00,PM10,0.015
2022-01-01T00:00:00+03:00,CO,0.33
2022-01-01T00:00:00+03:00,PM2.5,0.016
2022-01-01T00:00:00+03:00,NO2,0.041
2022-01-01T00:00:00+03:00,NO,0.013
2022-01-01T00:00:00+03:00,PM10,0.017
2022-01-01T00:00:00+03:00,SO2,0.0045
2022-02-01T00:00:00+03:00,PM2.5,0.015
2022-02-01T00:00:00+03:00,PM10,0.019
2022-02-01T00:00:00+03:00,CO,0.37
2022-02-01T00:00:00+03:00,SO2,0.0047
2022-02-01T00:00:00+03:00,NO,0.011
2022-02-01T00:00:00+03:00,NO2,0.049
2022-03-01T00:00:00+03:00,NO2,0.059
2022-03-01T00:00:00+03:00,PM10,0.048
2022-03-01T00:00:00+03:00,SO2,0.0059
2022-03-01T00:00:00+03:00,NO,0.051
2022-03-01T00:00:00+03:00,CO,0.53
2022-03-01T00:00:00+03:00,PM2.5,0.017
2022-04-01T00:00:00+03:00,PM2.5,0.012
2022-04-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,CO,0.27
2022-04-01T00:00:00+03:00,PM10,0.024
2022-04-01T00:00:00+03:00,NO,0.005
2022-04-01T00:00:00+03:00,SO2,0.0031
2022-05-01T00:00:00+03:00,PM10,0.02
2022-05-01T00:00:00+03:00,SO2,0.0039
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,PM2.5,0.007
2022-05-01T00:00:00+03:00,NO,0.01
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,SO2,0.0038
2022-06-01T00:00:00+03:00,CO,0.57
2022-06-01T00:00:00+03:00,PM2.5,0.004
2022-06-01T00:00:00+03:00,NO2,0.058
2022-06-01T00:00:00+03:00,SO2,0.0048
2022-06-01T00:00:00+03:00,PM10,0.008
2022-06-01T00:00:00+03:00,NO,0.033
2022-07-01T00:00:00+03:00,PM2.5,
2022-07-01T00:00:00+03:00,PM10,
2022-07-01T00:00:00+03:00,CO,0.59
2022-07-01T00:00:00+03:00,SO2,0.0045
2022-08-01T00:00:00+03:00,PM2.5,0.037
2022-08-01T00:00:00+03:00,PM10,0.077
2022-08-01T00:00:00+03:00,SO2,0.0051
2022-08-01T00:00:00+03:00,NO,0.019
2022-08-01T00:00:00+03:00,NO2,0.063
2022-08-01T00:00:00+03:00,CO,0.77
2022-09-01T00:00:00+03:00,CO,0.64
2022-09-01T00:00:00+03:00,NO,0.052
2022-09-01T00:00:00+03:00,NO2,0.052
2022-09-01T00:00:00+03:00,PM10,0.019
2022-09-01T00:00:00+03:00,PM2.5,0.011
2022-09-01T00:00:00+03:00,SO2,0.0039
2022-10-01T00:00:00+03:00,PM2.5,0.013
2022-10-01T00:00:00+03:00,PM10,0.02
2022-10-01T00:00:00+03:00,NO2,0.064
2022-10-01T00:00:00+03:00,NO,0.049
2022-10-01T00:00:00+03:00,SO2,0.0043
2022-10-01T00:00:00+03:00,CO,0.54
2022-11-01T00:00:00+03:00,SO2,0.0035
2022-11-01T00:00:00+03:00,NO2,0.05
2022-11-01T00:00:00+03:00,PM2.5,0.014
2022-11-01T00:00:00+03:00,NO,0.025
2022-11-01T00:00:00+03:00,PM10,0.018
2022-11-01T00:00:00+03:00,CO,0.38
2022-12-01T00:00:00+03:00,PM10,0.021
2022-12-01T00:00:00+03:00,NO,0.036
2022-12-01T00:00:00+03:00,CO,0.43
2022-12-01T00:00:00+03:00,SO2,0.0041
2022-12-01T00:00:00+03:00,NO2,0.068
2022-12-01T00:00:00+03:00,PM2.5,0.018
2023-01-01T00:00:00+03:00,PM2.5,0.015
2023-01-01T00:00:00+03:00,PM10,0.019
2023-01-01T00:00:00+03:00,CO,0.34
2023-01-01T00:00:00+03:00,SO2,0.0024
2023-01-01T00:00:00+03:00,NO2,0.06
2023-01-01T00:00:00+03:00,NO,0.017
2023-02-01T00:00:00+03:00,NO2,0.069
2023-02-01T00:00:00+03:00,CO,0.31
2023-02-01T00:00:00+03:00,SO2,0.0036
2023-02-01T00:00:00+03:00,NO,0.014
2023-02-01T00:00:00+03:00,PM2.5,0.016
2023-02-01T00:00:00+03:00,PM10,0.018
2023-03-01T00:00:00+03:00,NO2,0.064
2023-03-01T00:00:00+03:00,PM10,0.016
2023-03-01T00:00:00+03:00,PM2.5,0.012
2023-03-01T00:00:00+03:00,SO2,0.0052
2023-03-01T00:00:00+03:00,NO,0.023
2023-03-01T00:00:00+03:00,CO,0.39
2023-04-01T00:00:00+03:00,PM10,0.053
2023-04-01T00:00:00+03:00,NO2,0.044
2023-04-01T00:00:00+03:00,CO,0.62
2023-04-01T00:00:00+03:00,SO2,0.0059
2023-04-01T00:00:00+03:00,PM2.5,0.021
2023-04-01T00:00:00+03:00,NO,0.021
2023-05-01T00:00:00+03:00,CO,0.57
2023-05-01T00:00:00+03:00,PM2.5,0.014
2023-05-01T00:00:00+03:00,SO2,0.0043
2023-05-01T00:00:00+03:00,NO,0.029
2023-05-01T00:00:00+03:00,PM10,0.034
2023-05-01T00:00:00+03:00,NO2,0.037
2023-06-01T00:00:00+03:00,PM10,0.028
2023-06-01T00:00:00+03:00,NO2,0.043
2023-06-01T00:00:00+03:00,PM2.5,0.013
2023-06-01T00:00:00+03:00,SO2,0.003
2023-06-01T00:00:00+03:00,NO,0.017
2023-06-01T00:00:00+03:00,CO,0.42
2023-07-01T00:00:00+03:00,NO,0.019
2023-07-01T00:00:00+03:00,PM10,0.021
2023-07-01T00:00:00+03:00,CO,0.46
2023-07-01T00:00:00+03:00,SO2,0.0037
2023-07-01T00:00:00+03:00,NO2,0.053
2023-07-01T00:00:00+03:00,PM2.5,0.011
2023-08-01T00:00:00+03:00,SO2,0.0036
2023-08-01T00:00:00+03:00,NO2,0.051
2023-08-01T00:00:00+03:00,CO,0.63
2023-08-01T00:00:00+03:00,NO,0.035
2023-08-01T00:00:00+03:00,PM2.5,0.015
2023-08-01T00:00:00+03:00,PM10,0.029
2023-09-01T00:00:00+03:00,SO2,0.0048
2023-09-01T00:00:00+03:00,NO,0.04
2023-09-01T00:00:00+03:00,NO2,0.044
2023-09-01T00:00:00+03:00,PM10,
2023-09-01T00:00:00+03:00,PM2.5,
2023-09-01T00:00:00+03:00,CO,0.63
2023-10-01T00:00:00+03:00,NO,0.02
2023-10-01T00:00:00+03:00,PM10,0.011
2023-10-01T00:00:00+03:00,PM2.5,0.005
2023-10-01T00:00:00+03:00,NO2,0.033
2023-10-01T00:00:00+03:00,SO2,0.0038
2023-10-01T00:00:00+03:00,CO,0.32
2023-11-01T00:00:00+03:00,NO,0.016
2023-11-01T00:00:00+03:00,SO2,0.0087
2023-11-01T00:00:00+03:00,NO2,0.031
2023-11-01T00:00:00+03:00,CO,0.31
2023-11-01T00:00:00+03:00,PM10,0.018
2023-11-01T00:00:00+03:00,PM2.5,0.007
2023-12-01T00:00:00+03:00,SO2,
2023-12-01T00:00:00+03:00,NO,0.012
2023-12-01T00:00:00+03:00,PM2.5,0.007
2023-12-01T00:00:00+03:00,NO2,0.024
2023-12-01T00:00:00+03:00,PM10,0.015
2023-12-01T00:00:00+03:00,CO,0.24
2024-01-01T00:00:00+03:00,PM2.5,0.008
2024-01-01T00:00:00+03:00,CO,0.3
