datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,C6H6 (бензол),0.006
2021-07-01T00:00:00+03:00,SO2,0.0021
2021-07-01T00:00:00+03:00,OZ,0.0358
2021-07-01T00:00:00+03:00,CO,0.52
2021-07-01T00:00:00+03:00,NO2,0.026
2021-07-01T00:00:00+03:00,CH2O (формальдегид),0.0025
2021-07-01T00:00:00+03:00,C6H5OH (фенол),0.0011
2021-08-01T00:00:00+03:00,SO2,0.0034
2021-08-01T00:00:00+03:00,C6H5OH (фенол),0.0016
2021-08-01T00:00:00+03:00,C6H6 (бензол),0.007
2021-08-01T00:00:00+03:00,CH2O (формальдегид),0.0006
2021-08-01T00:00:00+03:00,OZ,0.0282
2021-08-01T00:00:00+03:00,NO2,0.031
2021-08-01T00:00:00+03:00,CO,0.62
2021-09-01T00:00:00+03:00,OZ,0.0166
2021-09-01T00:00:00+03:00,NO2,0.017
2021-09-01T00:00:00+03:00,CO,0.48
2021-09-01T00:00:00+03:00,C6H6 (бензол),0.002
2021-09-01T00:00:00+03:00,C6H5OH (фенол),0.0015
2021-09-01T00:00:00+03:00,CH2O (формальдегид),0.0005
2021-09-01T00:00:00+03:00,SO2,0.002
2021-10-01T00:00:00+03:00,CO,0.48
2021-10-01T00:00:00+03:00,NO2,0.029
2021-10-01T00:00:00+03:00,OZ,0.0152
2021-10-01T00:00:00+03:00,C6H5OH (фенол),0.0016
2021-10-01T00:00:00+03:00,SO2,0.0023
2021-10-01T00:00:00+03:00,C6H6 (бензол),0
2021-10-01T00:00:00+03:00,CH2O (формальдегид),0.002
2021-11-01T00:00:00+03:00,SO2,0.003
2021-11-01T00:00:00+03:00,C6H6 (бензол),0
2021-11-01T00:00:00+03:00,CO,0.36
2021-11-01T00:00:00+03:00,NO2,0.029
2021-11-01T00:00:00+03:00,CH2O (формальдегид),0.0013
2021-11-01T00:00:00+03:00,OZ,0.0106
2021-11-01T00:00:00+03:00,C6H5OH (фенол),0.0017
2021-12-01T00:00:00+03:00,OZ,0.0051
2021-12-01T00:00:00+03:00,C6H6 (бензол),0.002
2021-12-01T00:00:00+03:00,SO2,0.0016
2021-12-01T00:00:00+03:00,CO,0.43
2021-12-01T00:00:00+03:00,C6H5OH (фенол),0.0003
2021-12-01T00:00:00+03:00,NO2,0.055
2021-12-01T00:00:00+03:00,CH2O (формальдегид),
2022-01-01T00:00:00+03:00,CH2O (формальдегид),
2022-01-01T00:00:00+03:00,OZ,0.0128
2022-01-01T00:00:00+03:00,NO2,0.055
2022-01-01T00:00:00+03:00,CO,0.36
2022-01-01T00:00:00+03:00,C6H6 (бензол),0.003
2022-01-01T00:00:00+03:00,SO2,0.0016
2022-01-01T00:00:00+03:00,C6H5OH (фенол),0.0004
2022-02-01T00:00:00+03:00,OZ,0.0135
2022-02-01T00:00:00+03:00,CO,0.41
2022-02-01T00:00:00+03:00,C6H5OH (фенол),0.0008
2022-02-01T00:00:00+03:00,CH2O (формальдегид),0.0038
2022-02-01T00:00:00+03:00,C6H6 (бензол),0.001
2022-02-01T00:00:00+03:00,NO2,0.066
2022-02-01T00:00:00+03:00,SO2,0.0008
2022-03-01T00:00:00+03:00,SO2,0.002
2022-03-01T00:00:00+03:00,C6H6 (бензол),0.003
2022-03-01T00:00:00+03:00,NO2,0.075
2022-03-01T00:00:00+03:00,OZ,0.0208
2022-03-01T00:00:00+03:00,CO,0.46
2022-03-01T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-03-01T00:00:00+03:00,CH2O (формальдегид),0.0051
2022-04-01T00:00:00+03:00,CH2O (формальдегид),0.0041
2022-04-01T00:00:00+03:00,C6H6 (бензол),0.001
2022-04-01T00:00:00+03:00,SO2,0.0006
2022-04-01T00:00:00+03:00,NO2,0.057
2022-04-01T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-04-01T00:00:00+03:00,CO,0.41
2022-04-01T00:00:00+03:00,OZ,0.0225
2022-05-01T00:00:00+03:00,OZ,0.0298
2022-05-01T00:00:00+03:00,CH2O (формальдегид),0.004
2022-05-01T00:00:00+03:00,SO2,0.0005
2022-05-01T00:00:00+03:00,NO2,0.045
2022-05-01T00:00:00+03:00,C6H6 (бензол),0.001
