datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.24
2021-07-01T00:00:00+03:00,NO,0.01
2021-07-01T00:00:00+03:00,OZ,0.0782
2021-07-01T00:00:00+03:00,PM10,0.032
2021-07-01T00:00:00+03:00,SO2,0.0029
2021-07-01T00:00:00+03:00,NO2,0.037
2021-08-01T00:00:00+03:00,CO,0.19
2021-08-01T00:00:00+03:00,PM10,0.033
2021-08-01T00:00:00+03:00,NO2,0.043
2021-08-01T00:00:00+03:00,NO,0.015
2021-08-01T00:00:00+03:00,SO2,0.0032
2021-08-01T00:00:00+03:00,OZ,0.041
2021-09-01T00:00:00+03:00,NO,0.014
2021-09-01T00:00:00+03:00,NO2,0.032
2021-09-01T00:00:00+03:00,OZ,0.0236
2021-09-01T00:00:00+03:00,PM10,0.019
2021-09-01T00:00:00+03:00,CO,0.24
2021-09-01T00:00:00+03:00,SO2,0.002
2021-10-01T00:00:00+03:00,CO,0.38
2021-10-01T00:00:00+03:00,OZ,0.0221
2021-10-01T00:00:00+03:00,NO,0.046
2021-10-01T00:00:00+03:00,PM10,0.033
2021-10-01T00:00:00+03:00,SO2,0.0031
2021-10-01T00:00:00+03:00,NO2,0.043
2021-11-01T00:00:00+03:00,SO2,0.0025
2021-11-01T00:00:00+03:00,NO,0.018
2021-11-01T00:00:00+03:00,OZ,0.0206
2021-11-01T00:00:00+03:00,NO2,0.034
2021-11-01T00:00:00+03:00,CO,0.26
2021-11-01T00:00:00+03:00,PM10,0.023
2021-12-01T00:00:00+03:00,SO2,0.0034
2021-12-01T00:00:00+03:00,NO,0.026
2021-12-01T00:00:00+03:00,CO,0.16
2021-12-01T00:00:00+03:00,NO2,0.044
2021-12-01T00:00:00+03:00,OZ,0.0141
2021-12-01T00:00:00+03:00,PM10,0.016
2022-01-01T00:00:00+03:00,NO2,0.042
2022-01-01T00:00:00+03:00,SO2,0.0031
2022-01-01T00:00:00+03:00,NO,0.014
2022-01-01T00:00:00+03:00,OZ,0.0263
2022-01-01T00:00:00+03:00,CO,0.08
2022-01-01T00:00:00+03:00,PM10,0.014
2022-02-01T00:00:00+03:00,NO2,0.045
2022-02-01T00:00:00+03:00,CO,0.11
2022-02-01T00:00:00+03:00,OZ,0.0355
2022-02-01T00:00:00+03:00,NO,0.012
2022-02-01T00:00:00+03:00,SO2,0.0029
2022-02-01T00:00:00+03:00,PM10,0.017
2022-03-01T00:00:00+03:00,SO2,0.0059
2022-03-01T00:00:00+03:00,OZ,0.0404
2022-03-01T00:00:00+03:00,CO,0.38
2022-03-01T00:00:00+03:00,PM10,0.043
2022-03-01T00:00:00+03:00,NO,0.049
2022-03-01T00:00:00+03:00,NO2,0.06
2022-04-01T00:00:00+03:00,SO2,0.0028
2022-04-01T00:00:00+03:00,NO2,0.036
2022-04-01T00:00:00+03:00,OZ,0.0536
2022-04-01T00:00:00+03:00,NO,0.009
2022-04-01T00:00:00+03:00,PM10,0.022
2022-04-01T00:00:00+03:00,CO,0.21
2022-05-01T00:00:00+03:00,SO2,0.0019
2022-05-01T00:00:00+03:00,OZ,0.0505
2022-05-01T00:00:00+03:00,PM10,0.024
2022-05-01T00:00:00+03:00,NO2,0.031
2022-05-01T00:00:00+03:00,NO,0.01
2022-05-01T00:00:00+03:00,CO,0.21
2022-06-01T00:00:00+03:00,SO2,0.0024
2022-06-01T00:00:00+03:00,NO,0.018
2022-06-01T00:00:00+03:00,NO2,0.036
2022-06-01T00:00:00+03:00,OZ,0.0457
2022-06-01T00:00:00+03:00,CO,0.21
2022-06-01T00:00:00+03:00,PM10,0.029
