datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,CH4,1.32
2022-06-09T16:00:00+03:00,SO2,0.0001
2022-06-09T16:00:00+03:00,PM10,0.029
2022-06-09T16:00:00+03:00,OZ,0.1285
2022-06-09T16:00:00+03:00,NO,0.003
2022-06-09T16:00:00+03:00,NO2,0.021
2022-06-09T17:00:00+03:00,PM10,0.028
2022-06-09T17:00:00+03:00,SO2,0.0012
2022-06-09T17:00:00+03:00,CH4,1.32
2022-06-09T17:00:00+03:00,OZ,0.1275
2022-06-09T17:00:00+03:00,NO2,0.024
2022-06-09T17:00:00+03:00,NO,0.003
2022-06-09T18:00:00+03:00,OZ,0.1186
2022-06-09T18:00:00+03:00,SO2,0.0013
2022-06-09T18:00:00+03:00,CH4,1.32
2022-06-09T18:00:00+03:00,PM10,0.03
2022-06-09T18:00:00+03:00,NO2,0.026
2022-06-09T18:00:00+03:00,NO,0.002
2022-06-09T19:00:00+03:00,NO,0.003
2022-06-09T19:00:00+03:00,PM10,0.032
2022-06-09T19:00:00+03:00,OZ,0.1037
2022-06-09T19:00:00+03:00,CH4,1.32
2022-06-09T19:00:00+03:00,SO2,0.0012
2022-06-09T19:00:00+03:00,NO2,0.027
2022-06-09T20:00:00+03:00,OZ,0.0915
2022-06-09T20:00:00+03:00,CH4,1.32
2022-06-09T20:00:00+03:00,SO2,0.0014
2022-06-09T20:00:00+03:00,PM10,0.033
2022-06-09T20:00:00+03:00,NO2,0.03
2022-06-09T20:00:00+03:00,NO,0.002
2022-06-09T21:00:00+03:00,OZ,0.0311
2022-06-09T21:00:00+03:00,NO,0.026
2022-06-09T21:00:00+03:00,NO2,0.096
2022-06-09T21:00:00+03:00,PM10,0.043
2022-06-09T21:00:00+03:00,CH4,1.35
2022-06-09T21:00:00+03:00,SO2,0.0036
2022-06-09T22:00:00+03:00,OZ,0.0035
2022-06-09T22:00:00+03:00,CH4,1.42
2022-06-09T22:00:00+03:00,NO,0.058
2022-06-09T22:00:00+03:00,SO2,0.0058
2022-06-09T22:00:00+03:00,NO2,0.122
2022-06-09T22:00:00+03:00,PM10,0.066
2022-06-09T23:00:00+03:00,NO2,0.086
2022-06-09T23:00:00+03:00,OZ,0.0208
2022-06-09T23:00:00+03:00,PM10,0.065
2022-06-09T23:00:00+03:00,CH4,1.37
2022-06-09T23:00:00+03:00,NO,0.008
2022-06-09T23:00:00+03:00,SO2,0.0052
2022-06-10T00:00:00+03:00,NO,0.003
2022-06-10T00:00:00+03:00,CH4,1.35
2022-06-10T00:00:00+03:00,SO2,0.0041
2022-06-10T00:00:00+03:00,PM10,0.046
2022-06-10T00:00:00+03:00,NO2,0.068
2022-06-10T00:00:00+03:00,OZ,0.0271
2022-06-10T01:00:00+03:00,CH4,1.37
2022-06-10T01:00:00+03:00,NO2,0.081
2022-06-10T01:00:00+03:00,SO2,0.0027
2022-06-10T01:00:00+03:00,PM10,0.041
2022-06-10T01:00:00+03:00,OZ,0.0113
2022-06-10T01:00:00+03:00,NO,0.008
2022-06-10T02:00:00+03:00,NO,0.023
2022-06-10T02:00:00+03:00,CH4,1.44
2022-06-10T02:00:00+03:00,NO2,0.093
2022-06-10T02:00:00+03:00,PM10,0.047
2022-06-10T02:00:00+03:00,OZ,0.003
2022-06-10T02:00:00+03:00,SO2,0.0024
2022-06-10T03:00:00+03:00,NO,0.066
2022-06-10T03:00:00+03:00,NO2,0.092
2022-06-10T03:00:00+03:00,CH4,1.7
2022-06-10T03:00:00+03:00,OZ,0.0035
2022-06-10T03:00:00+03:00,SO2,0.0025
2022-06-10T03:00:00+03:00,PM10,0.07
2022-06-10T04:00:00+03:00,CH4,2.06
2022-06-10T04:00:00+03:00,NO,0.105
2022-06-10T04:00:00+03:00,NO2,0.089
2022-06-10T04:00:00+03:00,SO2,0.0038
2022-06-10T04:00:00+03:00,PM10,0.074
2022-06-10T04:00:00+03:00,OZ,0.0033
2022-06-10T05:00:00+03:00,NO2,0.09
2022-06-10T05:00:00+03:00,OZ,0.003
2022-06-10T05:00:00+03:00,PM10,0.071
2022-06-10T05:00:00+03:00,CH4,2.01
2022-06-10T05:00:00+03:00,SO2,0.003
2022-06-10T05:00:00+03:00,NO,0.057
2022-06-10T06:00:00+03:00,PM10,0.046
2022-06-10T06:00:00+03:00,CH4,1.41
2022-06-10T06:00:00+03:00,NO,0.01
2022-06-10T06:00:00+03:00,SO2,0.0016
2022-06-10T06:00:00+03:00,OZ,0.0235
2022-06-10T06:00:00+03:00,NO2,0.059
2022-06-10T07:00:00+03:00,NO2,0.047
2022-06-10T07:00:00+03:00,PM10,0.032
2022-06-10T07:00:00+03:00,NO,0.009
2022-06-10T07:00:00+03:00,SO2,0.0022
2022-06-10T07:00:00+03:00,OZ,0.0398
2022-06-10T07:00:00+03:00,CH4,1.54
2022-06-10T08:00:00+03:00,OZ,0.0503
2022-06-10T08:00:00+03:00,NO,0.008
2022-06-10T08:00:00+03:00,CH4,1.33
2022-06-10T08:00:00+03:00,NO2,0.036
2022-06-10T08:00:00+03:00,PM10,0.028
2022-06-10T08:00:00+03:00,SO2,0.0023
2022-06-10T09:00:00+03:00,PM10,0.028
2022-06-10T09:00:00+03:00,SO2,0.003
2022-06-10T09:00:00+03:00,NO,0.009
2022-06-10T09:00:00+03:00,NO2,0.032
2022-06-10T09:00:00+03:00,CH4,1.33
2022-06-10T09:00:00+03:00,OZ,0.055
2022-06-10T10:00:00+03:00,NO2,0.027
2022-06-10T10:00:00+03:00,NO,0.006
2022-06-10T10:00:00+03:00,PM10,0.028
2022-06-10T10:00:00+03:00,CH4,1.33
2022-06-10T10:00:00+03:00,OZ,0.0645
2022-06-10T10:00:00+03:00,SO2,0.0035
2022-06-10T11:00:00+03:00,NO2,0.022
2022-06-10T11:00:00+03:00,CH4,1.32
2022-06-10T11:00:00+03:00,NO,0.006
2022-06-10T11:00:00+03:00,SO2,0.0036
2022-06-10T11:00:00+03:00,PM10,0.028
2022-06-10T11:00:00+03:00,OZ,0.0718
2022-06-10T12:00:00+03:00,PM10,0.029
2022-06-10T12:00:00+03:00,NO2,0.019
2022-06-10T12:00:00+03:00,OZ,0.0822
2022-06-10T12:00:00+03:00,CH4,1.32
2022-06-10T12:00:00+03:00,NO,0.005
2022-06-10T12:00:00+03:00,SO2,0.0034
2022-06-10T13:00:00+03:00,OZ,0.09
2022-06-10T13:00:00+03:00,NO,0.004
2022-06-10T13:00:00+03:00,SO2,0.0021
2022-06-10T13:00:00+03:00,PM10,0.023
