datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.96
2021-08-01T00:00:00+03:00,CO,1.05
2021-09-01T00:00:00+03:00,CO,0.94
2021-10-01T00:00:00+03:00,CO,0.95
2021-11-01T00:00:00+03:00,CO,0.78
2021-12-01T00:00:00+03:00,CO,0.79
2022-01-01T00:00:00+03:00,CO,0.38
2022-02-01T00:00:00+03:00,CO,0.58
2022-03-01T00:00:00+03:00,CO,1.12
2022-04-01T00:00:00+03:00,CO,0.8
2022-05-01T00:00:00+03:00,CO,0.91
2022-06-01T00:00:00+03:00,CO,1.12
2022-07-01T00:00:00+03:00,CO,1.14
2022-08-01T00:00:00+03:00,NO,0.129
2022-08-01T00:00:00+03:00,CO,1.16
2022-08-01T00:00:00+03:00,NO2,0.068
2022-09-01T00:00:00+03:00,CO,1.08
2022-09-01T00:00:00+03:00,NO2,0.043
2022-09-01T00:00:00+03:00,NO,0.192
2022-10-01T00:00:00+03:00,CO,1.08
2022-10-01T00:00:00+03:00,NO,0.225
2022-10-01T00:00:00+03:00,NO2,0.046
2022-11-01T00:00:00+03:00,CO,0.73
2022-11-01T00:00:00+03:00,NO,0.133
2022-11-01T00:00:00+03:00,NO2,0.041
2022-12-01T00:00:00+03:00,NO,0.122
2022-12-01T00:00:00+03:00,NO2,0.038
2022-12-01T00:00:00+03:00,CO,1.12
2023-01-01T00:00:00+03:00,NO2,0.078
2023-01-01T00:00:00+03:00,NO,0.191
2023-01-01T00:00:00+03:00,CO,1.13
2023-02-01T00:00:00+03:00,NO,0.156
2023-02-01T00:00:00+03:00,CO,0.92
2023-02-01T00:00:00+03:00,NO2,0.081
2023-03-01T00:00:00+03:00,NO2,0.085
2023-03-01T00:00:00+03:00,CO,1.09
2023-03-01T00:00:00+03:00,NO,0.217
2023-04-01T00:00:00+03:00,CO,1.2
2023-04-01T00:00:00+03:00,NO2,0.093
2023-04-01T00:00:00+03:00,NO,0.18
2023-05-01T00:00:00+03:00,CO,1.15
2023-05-01T00:00:00+03:00,NO,0.212
2023-05-01T00:00:00+03:00,NO2,0.085
2023-06-01T00:00:00+03:00,NO2,0.065
2023-06-01T00:00:00+03:00,CO,0.97
2023-06-01T00:00:00+03:00,NO,0.147
2023-07-01T00:00:00+03:00,NO2,0.076
2023-07-01T00:00:00+03:00,CO,1.13
2023-07-01T00:00:00+03:00,NO,0.22
